recorded_at_utc,run_key,experiment,environment_version,motor_boundary,backend,population,body_runtime,body_processes,vision_runtime,vision_rays_per_ommatidium,vision_framebuffer,episode_start,episode_end,episode_count,elapsed_seconds,seconds_per_episode,total_control_steps,control_steps_per_second,control_dt_seconds,simulated_seconds,simulation_realtime_factor,success_episodes,success_rate,total_passed_gates,max_passed_gates,collisions,finished_episodes,max_x_mm,episodes_ever_above_spawn,max_altitude_gain_mm,worst_altitude_loss_mm,mean_max_altitude_gain_mm,checkpoint_neural_step,curriculum_mode,launch_mode,curriculum_episodes_total,spawn_x_mm_after_run,spawn_z_mm_after_run,initial_speed_mm_s_after_run
2026-09-14T08:48:03+00:00,flyppy_v2_whole_body_physical_curriculum|v2|whole-body|4|7|700,flyppy_v2_whole_body_physical_curriculum,v2,whole-body,gpu:Apple M1 (Metal),,,,,,,4,7,4,159.409946,39.852487,282,1.769024,0.000500000,0.141000,0.000885,3,0.750000,3,1,4,0,19.389671,,,,,700,adaptive,,8,6.462499999999998,9.79290022923471,325.0
2026-09-14T08:52:34+00:00,flyppy_v2_whole_body_physical_curriculum|v2|whole-body|12|19|1175,flyppy_v2_whole_body_physical_curriculum,v2,whole-body,gpu:Apple M1 (Metal),,,,,,,12,19,8,127.033625,15.879203,427,3.361315,0.000500000,0.213500,0.001681,4,0.500000,4,1,8,0,18.345510,,,,,1175,adaptive,,16,5.912499999999997,9.79290022923471,325.0
2026-09-14T12:02:02+00:00,flyppy_v3_source_equivalent_whole_body_curriculum|v3|whole-body|0|11|1252,flyppy_v3_source_equivalent_whole_body_curriculum,v3,whole-body,gpu:Apple M1 (Metal),,,,,,,0,11,12,180.019834,15.001653,1136,6.310416,0.000500000,0.568000,0.003155,12,1.000000,17,2,12,0,33.338154,0,-0.005352,7.778795,-0.005394,1252,adaptive,,12,5.346000000000001,9.685332247573479,300.0
2026-09-14T12:12:00+00:00,flyppy_v3_source_equivalent_whole_body_curriculum|v3|whole-body|12|23|2254,flyppy_v3_source_equivalent_whole_body_curriculum,v3,whole-body,gpu:Apple M1 (Metal),,,,,,,12,23,12,164.583411,13.715284,922,5.602023,0.000500000,0.461000,0.002801,7,0.583333,8,2,12,0,30.390593,4,5.465061,7.358108,1.436241,2254,adaptive,,24,4.009500000000004,9.388332247573478,312.5
2026-09-14T12:21:29+00:00,flyppy_v3_source_equivalent_whole_body_curriculum|v3|whole-body|24|47|3815,flyppy_v3_source_equivalent_whole_body_curriculum,v3,whole-body,gpu:Apple M1 (Metal),,,,,,,24,47,24,202.135790,8.422325,1417,7.010139,0.000500000,0.708500,0.003505,11,0.458333,12,2,24,0,28.077316,1,2.496479,7.720285,0.098851,3815,adaptive,,48,2.673000000000002,9.685332247573479,337.5
2026-09-15T03:08:59+00:00,flyppy_v3_source_equivalent_whole_body_curriculum|v3|whole-body|48|71|5757,flyppy_v3_source_equivalent_whole_body_curriculum,v3,whole-body,gpu:Apple M1 (Metal),,,,,,,48,71,24,251.465525,10.477730,1802,7.165992,0.000500000,0.901000,0.003583,11,0.458333,11,1,24,0,23.833440,1,1.432499,7.477898,0.054498,5757,adaptive,,72,1.336500000000001,9.98233224757348,362.5
2026-09-15T03:27:30+00:00,flyppy_v3_async_shared_weight_population|v3|whole-body|72|95|7388,flyppy_v3_async_shared_weight_population,v3,whole-body,gpu-population:Apple M1 (Metal),,,,,,,72,95,24,200.746031,8.364418,1507,7.506998,0.000500000,0.753500,0.003753,7,0.291667,7,1,24,0,23.527189,0,-0.005394,6.701999,-0.005463,7388,adaptive,,96,1.7820000000000022,11.467332247573482,450.0
2026-09-15T10:16:42+00:00,flyppy_v3_async_shared_weight_population|v3|whole-body|96|143|10142,flyppy_v3_async_shared_weight_population,v3,whole-body,gpu-population:Apple M1 (Metal),4,packed-process,4,direct-ray,13,false,96,143,48,77.509882,1.614789,2506,32.331361,0.000500000,1.253000,0.016166,14,0.291667,14,1,48,0,23.875786,0,-0.005494,4.131817,-0.005518,10142,adaptive,,144,2.672999999999996,11.170332247573482,425.0
2026-09-15T10:31:25+00:00,flyppy_v3_async_shared_weight_population|v3|whole-body|144|151|10576,flyppy_v3_async_shared_weight_population,v3,whole-body,gpu-population:Apple M1 (Metal),4,packed-process,4,direct-ray,13,false,144,151,8,50.303356,6.287920,394,7.832479,0.000500000,0.197000,0.003916,2,0.250000,2,1,8,0,23.920257,0,-0.005494,3.061125,-0.005507,10576,adaptive,,152,2.969999999999995,11.467332247573482,450.0
2026-09-15T11:06:31+00:00,flyppy_v3_async_shared_weight_population|v3|whole-body|152|159|10984,flyppy_v3_async_shared_weight_population,v3,whole-body,gpu-population:Apple M1 (Metal),4,packed-process,4,direct-ray,13,false,152,159,8,12.209403,1.526175,368,30.140704,0.000500000,0.184000,0.015070,2,0.250000,2,1,8,0,23.151559,0,-0.005524,3.348714,-0.005524,10984,adaptive,,160,3.2669999999999937,11.467332247573482,450.0
