episode,curriculum_mode,boundary_ease_level,spawn_x_mm,spawn_z_mm,initial_speed_mm_s,control_steps,passed_gates,collision,collision_reason,finished,max_x_mm,min_z_mm,max_z_mm,final_vx_mm_s
96,adaptive,,1.7820000000000022,11.467332247573482,450.0,96,1,True,gate,False,23.17066487026118,8.105856415883489,11.461808353565818,237.3528274781082
97,adaptive,,1.7820000000000022,11.467332247573482,450.0,38,0,True,gate,False,10.190917076656005,11.156758758379318,11.461808353565818,-38.35597159773
98,adaptive,,1.7820000000000022,11.467332247573482,450.0,95,1,True,gate,False,22.781269066531543,8.412296458019204,11.461808353565818,88.91844593962932
99,adaptive,,1.7820000000000022,11.467332247573482,450.0,40,0,True,gate,False,10.542025711996091,11.058879859002312,11.461808353565818,-27.75647184523965
100,adaptive,,1.9305000000000023,11.467332247573482,450.0,37,0,True,gate,False,10.228058929006876,11.158624012435775,11.461808353565818,-35.37478079737462
101,adaptive,,2.0790000000000024,11.467332247573482,450.0,37,0,True,gate,False,10.412054440886504,11.156862464753385,11.461808353565818,312.4103247926277
102,adaptive,,2.2275000000000023,11.467332247573482,450.0,36,0,True,gate,False,10.305080910630195,11.16128495568344,11.461808353565818,155.33804444185134
103,adaptive,,2.376000000000002,11.467332247573482,450.0,37,0,True,gate,False,10.553509601401123,11.158070142797094,11.461808353565818,-121.84301488577785
104,adaptive,,2.079000000000002,11.318832247573482,437.5,95,1,True,gate,False,22.743216682991264,8.07670752494194,11.313323147286798,271.2717809418567
105,adaptive,,1.782000000000002,11.170332247573482,425.0,99,1,True,gate,False,22.985703216135825,7.08448312880383,11.164837854891093,-17.85458613309092
106,adaptive,,1.930500000000002,11.318832247573482,437.5,38,0,True,gate,False,10.143385241809263,11.006635367255459,11.313323147286798,-65.15314644642461
107,adaptive,,2.079000000000002,11.467332247573482,450.0,37,0,True,gate,False,10.412054440886507,11.156862464753386,11.461808353565818,312.410324792655
108,adaptive,,2.227500000000002,11.467332247573482,450.0,36,0,True,gate,False,10.305080910630195,11.161284955683438,11.461808353565818,155.3380444418514
109,adaptive,,2.3760000000000017,11.467332247573482,450.0,37,0,True,gate,False,10.553509601401124,11.158070142797095,11.461808353565818,-121.84301488578123
110,adaptive,,2.5245000000000015,11.467332247573482,450.0,34,0,True,gate,False,10.231897164619006,11.18666968641743,11.461808353565818,218.2263543033681
111,adaptive,,2.6730000000000014,11.467332247573482,450.0,35,0,True,gate,False,10.57011831566744,11.16552333027948,11.461808353565818,25.24043498865083
112,adaptive,,2.3760000000000012,11.318832247573482,437.5,94,1,True,gate,False,22.760215346294633,8.327965156002012,11.313323147286798,104.86677327265086
113,adaptive,,2.079000000000001,11.170332247573482,425.0,98,1,True,gate,False,22.892057946189084,7.0385156710532675,11.164837854891093,132.3018588390447
114,adaptive,,2.227500000000001,11.318832247573482,437.5,37,0,True,gate,False,10.32219446622569,11.008142478356293,11.313323147286798,83.31342028961033
115,adaptive,,2.376000000000001,11.467332247573482,450.0,37,0,True,gate,False,10.553509601401123,11.158070142797094,11.461808353565818,-121.8430148857743
116,adaptive,,2.5245000000000006,11.467332247573482,450.0,34,0,True,gate,False,10.231897164619006,11.18666968641743,11.461808353565818,218.22635430336868
117,adaptive,,2.6730000000000005,11.467332247573482,450.0,35,0,True,gate,False,10.57011831566743,11.16552333027949,11.461808353565818,25.2404349886562
118,adaptive,,2.3760000000000003,11.318832247573482,437.5,93,1,True,gate,False,22.710822242549355,8.440713326513512,11.313323147286798,136.63214312581303
119,adaptive,,2.5245,11.467332247573482,450.0,34,0,True,gate,False,10.23189716461901,11.186669686417428,11.461808353565818,218.22635430336683
120,adaptive,,2.2275,11.318832247573482,437.5,96,1,True,gate,False,22.77477064398033,7.682068122035584,11.313323147286798,71.39493631423579
121,adaptive,,2.376,11.467332247573482,450.0,37,0,True,gate,False,10.553509601401121,11.158070142797095,11.461808353565818,-121.84301488577351
122,adaptive,,2.5244999999999997,11.467332247573482,450.0,34,0,True,gate,False,10.231897164619008,11.186669686417426,11.461808353565818,218.22635430336823
123,adaptive,,2.6729999999999996,11.467332247573482,450.0,35,0,True,gate,False,10.570118315667441,11.165523330279482,11.461808353565818,25.240434988644274
124,adaptive,,2.8214999999999995,11.467332247573482,450.0,33,0,True,gate,False,10.251850431824007,11.214420351238072,11.461808353565818,138.05124696924483
125,adaptive,,2.9699999999999993,11.467332247573482,450.0,33,0,True,gate,False,10.474250682947941,11.194316897038018,11.461808353565818,335.7138652678085
126,adaptive,,2.672999999999999,11.318832247573482,437.5,91,1,True,gate,False,22.66291456352838,8.729794747069883,11.313323147286798,326.8586632433913
127,adaptive,,2.375999999999999,11.170332247573482,425.0,97,1,True,gate,False,23.013925579042805,7.370644587167287,11.164837854891093,12.404407034078167
128,adaptive,,2.524499999999999,11.318832247573482,437.5,35,0,True,gate,False,10.25524616026322,11.02252128910864,11.313323147286798,212.52006621614186
129,adaptive,,2.6729999999999987,11.467332247573482,450.0,35,0,True,gate,False,10.570118315667436,11.165523330279486,11.461808353565818,25.240434988659622
130,adaptive,,2.8214999999999986,11.467332247573482,450.0,33,0,True,gate,False,10.251850431824007,11.214420351238072,11.461808353565818,138.05124696924514
131,adaptive,,2.9699999999999984,11.467332247573482,450.0,33,0,True,gate,False,10.474250682947932,11.194316897038018,11.461808353565818,335.713865267721
132,adaptive,,3.1184999999999983,11.467332247573482,450.0,31,0,True,gate,False,10.168941031793944,11.239037332373742,11.461808353565818,318.32069278777084
133,adaptive,,2.821499999999998,11.318832247573482,437.5,91,1,True,gate,False,22.798555888416473,8.407715855066435,11.313323147286798,149.61188568003627
134,adaptive,,2.969999999999998,11.467332247573482,450.0,33,0,True,gate,False,10.4742506829479,11.19431689703803,11.461808353565818,335.71386526748216
135,adaptive,,2.672999999999998,11.318832247573482,437.5,97,1,True,gate,False,23.87578617456836,8.365047489078316,11.313323147286798,438.69904097680234
136,adaptive,,2.8214999999999977,11.467332247573482,450.0,33,0,True,gate,False,10.251850431824007,11.214420351238072,11.461808353565818,138.05124696924756
137,adaptive,,2.9699999999999975,11.467332247573482,450.0,33,0,True,gate,False,10.474250682947948,11.194316897038016,11.461808353565818,335.71386526793447
138,adaptive,,3.1184999999999974,11.467332247573482,450.0,31,0,True,gate,False,10.168941031793942,11.239037332373742,11.461808353565818,318.3206927877721
139,adaptive,,3.2669999999999972,11.467332247573482,450.0,32,0,True,gate,False,10.47639384154408,11.2149183283516,11.461808353565818,317.62334070946014
140,adaptive,,3.415499999999997,11.467332247573482,450.0,29,0,True,gate,False,9.913790364263757,11.270607540948353,11.461808353565818,-113.80161400186786
141,adaptive,,3.118499999999997,11.318832247573482,437.5,90,1,True,gate,False,22.694874295588306,9.030774363819503,11.313323147286798,52.83788549390498
142,adaptive,,3.266999999999997,11.467332247573482,450.0,32,0,True,gate,False,10.476393841548946,11.214918328350745,11.461808353565818,317.6233407083128
143,adaptive,,2.9699999999999966,11.318832247573482,437.5,93,1,True,gate,False,23.52020158359141,8.398574284728172,11.313323147286798,448.2785522306147
